Temps,It,Stocks,Prix
97,97,87.936157,0.000000
98,98,87.062614,0.000000
99,99,89.406883,0.000000
100,100,90.073715,0.000000
1,1,102.221947,1.937291
2,2,100.755043,0.954300
3,3,99.826347,0.361130
4,4,100.912636,0.494168
5,5,100.636597,0.725739
6,6,101.031609,0.935722
7,7,100.294563,1.177445
8,8,100.159500,0.703455
9,9,98.361801,0.285063
10,10,99.199707,0.322917
11,11,98.806137,0.000000
12,12,98.070313,0.323562
13,13,96.615311,0.089676
14,14,95.841888,0.273547
15,15,94.025131,0.134778
16,16,91.632950,0.000000
17,17,92.720238,0.000000
18,18,93.162933,0.153088
19,19,92.277451,0.000000
20,20,93.655975,0.000000
21,21,98.693176,0.163061
22,22,94.907547,0.000000
23,23,96.245583,0.131942
24,24,96.322289,0.000000
25,25,97.022423,0.000000
26,26,98.890900,0.000000
27,27,100.475235,0.122419
28,28,101.947861,0.197826
29,29,101.437691,0.102097
30,30,101.483086,0.107684
31,31,102.604042,0.000000
32,32,102.595871,0.000000
33,33,101.672211,0.000000
34,34,101.289612,0.000000
35,35,100.308487,0.000000
36,36,101.297028,0.000000
37,37,99.148979,0.000000
38,38,100.200455,0.000000
39,39,99.447662,0.000000
40,40,100.430099,0.000000
41,41,100.076103,0.000000
42,42,96.369865,0.000000
43,43,96.139870,0.000000
44,44,95.918922,0.000000
45,45,93.054443,0.000000
46,46,92.824684,0.000000
47,47,94.265221,0.000000
48,48,96.170609,0.000000
49,49,97.675316,0.000000
50,50,98.415688,0.000000
51,51,99.515266,0.000000
52,52,99.883606,0.000000
53,53,100.073158,0.000000
54,54,100.666183,0.000000
55,55,100.645691,0.000000
56,56,102.619919,0.000000
57,57,103.521439,0.000000
58,58,103.973022,0.000000
59,59,103.517784,0.000000
60,60,104.234726,0.000000
61,61,103.823410,0.000000
62,62,101.718369,0.000000
63,63,101.622910,0.000000
64,64,101.156921,0.000000
65,65,100.548294,0.000000
66,66,100.188995,0.000000
67,67,99.552902,0.000000
68,68,100.415466,0.000000
69,69,101.834587,0.000000
70,70,101.724960,0.000000
71,71,102.633293,0.000000
72,72,102.588104,0.000000
73,73,101.082031,0.000000
74,74,102.941154,0.000000
75,75,101.751984,0.000000
76,76,100.839851,0.000000
77,77,100.791977,0.000000
78,78,101.782272,0.000000
79,79,102.522995,0.000000
80,80,103.936684,0.000000
81,81,103.944016,0.000000
82,82,104.304199,0.000000
83,83,104.076096,0.000000
84,84,104.560951,0.000000
85,85,105.671959,0.000000
86,86,104.719200,0.000000
87,87,106.613525,0.000000
88,88,104.895905,0.000000
89,89,107.100464,0.000000
90,90,107.777199,0.000000
91,91,107.458473,0.000000
92,92,106.901176,0.000000
93,93,107.525314,0.000000
94,94,108.916336,0.000000
